searchstring	count	is_fixed	fixed	productcount	predicted_productcount
Кисть из волса козы	1	True	кисть из ворса козы	0	0
Джерджи армани	2	True	джерджи armani	0	0
Крем для лица ночно	1	True	крем для лица ночной	30	29
Ciare	1	True	care	0	11
Диор эдикт	3	True	dior эдикт	0	0
Тушь лумене	5	True	тушь lumene	0	13
пако рабан олимпия	1	True	paco рабан олимпия	0	0
Твердыней шампунь	1	True	твердый шампунь	0	17
кельвин klein эйфория духи	1	True	calvin klein эйфория духи	0	0
Шанэль духи	1	True	chanel духи	0	0
chanal	2	True	chanel	0	0
Dr.jart microfoam	1	True	dr.jart micro foam	0	2
Nix lip	1	True	nyx lip	17	17
seche vite	1	True	seche white	0	0
suav	1	True	suave	0	1
Door capture totale dream skin	1	True	door capture totale dreamskin	0	0
помада пупа	4	True	помада pupa	30	29
Noni care	4	True	nonicare	0	23
Наличие крема люмине базис блу в магазине	1	True	наличие крема люмине базис blue в магазине	0	0
Сладкые духи	1	True	сладкие духи	30	30
Туш chanel	3	True	touch chanel	0	0
Маска от прыщец	1	True	маска от прыщей	0	7
Benefi	3	True	benefit	0	2
Набор косметик	2	True	набор cosmetic	6	0
SABOVIVIENNE	1	True	sabo vivienne	0	29
мега	1	True	mega	13	30
Блёс	2	True	блеск	0	28
Гельлак	1	True	гель лак	30	26
Fl	2	True	fly	17	17
gucii flora	1	True	gucci flora	0	0
PAC RABANNE OLYMPEA	1	True	paco rabanne olympea	3	5
Loreal дерма генезис	3	True	loreal derma генезис	0	0
Мэри ми	1	True	мэри me	0	0
Идилия парфюмерн	1	True	идилия парфюмерная	0	0
Биотерм	10	True	biotherm	30	28
Chanel серум	1	True	chanel serum	0	0
Резинки для аолос	3	True	резинки для волос	0	15
каролина ерера	1	True	carolina эррера	25	0
Эфория	4	True	эйфория	0	10
Сальвадор Дали голубая логуна	1	True	сальвадор дали голубая лагуна	0	0
Rimmel lastin	1	True	rimmel lasting	0	7
Молина	2	True	малина	0	30
Лореал блеск для губн	1	True	loreal блеск для губ	0	12
La prairie cellular 3 minute	1	True	la prairie cellular 3-minute	0	0
Кансилер	7	True	консилер	30	27
Bb крем холика холика	1	True	bb крем holika holika	0	0
дживанши плей	5	True	givenchy play	0	0
Maschino pink	1	True	moschino pink	0	1
Супернова	1	True	supernova	0	0
Пако рабанне	2	True	paco rabanne	25	24
парфюм левый берег	1	True	parfum левый берег	0	0
Acqua di gioa	2	True	acqua di gioia	0	4
Краски лореаль	2	True	краски l'oreal	10	0
Парфюмерная мужска	1	True	парфюмерная мужская	30	30
офвщку	1	True	jadore	0	16
YDL	1	True	ysl	17	17
Chaharel	1	True	cacharel	0	8
Тональный крем том форм	1	True	тональный крем tom форм	1	1
Floverbomb	1	True	flowerbomb	0	5
Ultramatte	4	True	ultra matte	0	5
oskar de laurent	1	True	oscar de laurent	0	0
Энви ми	3	True	envy me	0	17
Chanel lecrayon	1	True	chanel le crayon	0	0
Фор ши	1	True	for ши	17	17
loreall	1	True	loreal	0	29
ectee	1	True	estee	0	30
Тру	1	True	true	17	22
Nyx лондон	2	True	nyx london	0	14
Moto bene	1	True	molto bene	0	12
Amir amor	2	True	amor amor	0	0
герлен жики духи	1	True	guerlain жидкие духи	0	0
Burbarry	12	True	burberry	0	0
essance	1	True	essence	0	29
Кензо одеколон	1	True	kenzo одеколон	0	0
фкеупщ	1	True	artego	0	0
Lodeal	1	True	loreal	0	29
cartier declarati	1	True	cartier declaration	0	0
Linerr feuter	2	True	liner feuter	0	0
Парфюм блек опиум	1	True	parfum black опиум	0	0
Луна нина	1	True	luna nina	2	6
Invisibl	2	True	invisible	0	17
аква бургари	1	True	aqua бургари	30	0
Teazzura	1	True	teazzurra	0	1
Лля интимной гигиены	1	True	для интимной гигиены	3	3
biotherm aqua source	1	True	biotherm aquasource	0	18
Босс тоник	2	True	boss тоник	30	0
la в и эсте э бель	1	True	la в и estee э belle	0	0
rouge Alevres	1	True	rouge a levres	0	1
солнц	1	True	солнца	30	30
Чанел	2	True	chanel	0	0
Sven	2	True	seven	0	1
Спонж мейбелин	2	True	спонж maybelline	3	0
Килиан мужск	1	True	kilian мужской	0	0
Clarind	1	True	clarins	0	12
la praire parfum	1	True	la prairie parfum	0	0
Issey miuake	1	True	issey miyake	0	18
Serhe	1	True	serge	0	29
Мен 212	2	True	men 212	17	17
Ласьон для тела	2	True	лосьон для тела	0	29
Mabelline хайлайтер	1	True	maybelline хайлайтер	0	6
Canali	4	False	Canali	0	0
Shiseido AEE	2	False	Shiseido AEE	14	14
nina ricci florale	1	False	nina ricci florale	0	0
палетка дя глаз	1	False	палетка дя глаз	26	26
Annick	3	False	Annick	0	0
Ахалпожа	1	False	Ахалпожа	0	0
Блеск для губ eva mosaic	2	False	Блеск для губ eva mosaic	18	18
PUPA Тушь для ресниц водостойкая VAMP! MASCARA WATERPROOF	1	False	PUPA Тушь для ресниц водостойкая VAMP! MASCARA WATERPROOF	0	0
Loreal bronze	3	False	Loreal bronze	3	3
Sisley лосьон	2	False	Sisley лосьон	13	13
ardeko	1	False	ardeko	0	0
Тон для лица	1	False	Тон для лица	27	27
Духи s	1	False	Духи s	27	27
Alure Home	1	False	Alure Home	0	0
Essay	1	False	Essay	0	0
Основа для лица	1	False	Основа для лица	30	30
Molekul N1	1	False	Molekul N1	0	0
Спрей dior	2	False	Спрей dior	10	10
Guess Seductive Homme Blue	1	False	Guess Seductive Homme Blue	0	0
Масло бея	1	False	Масло бея	28	28
помада 12 часов	1	False	помада 12 часов	10	10
Палетка Nude look	2	False	Палетка Nude look	1	1
Amber and Roses	1	False	Amber and Roses	0	0
fucking	2	False	fucking	0	0
Estee lauder тональные средства	1	False	Estee lauder тональные средства	4	4
Серия Givenchy Girl	1	False	Серия Givenchy Girl	0	0
NYX professional makeup soft matte lip creamy	3	False	NYX professional makeup soft matte lip creamy	0	0
Yves Rocher Magnolia	1	False	Yves Rocher Magnolia	0	0
MAGIC CONCEALER	1	False	MAGIC CONCEALER	0	0
Тойтбел	1	False	Тойтбел	0	0
Before midnight	4	False	Before midnight	0	0
Suede Cream	2	False	Suede Cream	8	8
Big ache	1	False	Big ache	0	0
Colirista	1	False	Colirista	0	0
lisa	1	False	lisa	0	0
black caviar	1	False	black caviar	0	0
Loews	1	False	Loews	0	0
Mac chili	5	False	Mac chili	2	2
Parfums genty like	1	False	Parfums genty like	0	0
lumine вокруг	1	False	lumine вокруг	10	10
Антивозрастная Косметика для лица	1	False	Антивозрастная Косметика для лица	0	0
Dior туалетная вода мужская	1	False	Dior туалетная вода мужская	2	2
Laneige	9	False	Laneige	0	0
Colorfast	1	False	Colorfast	0	0
Крема для лица наборы	1	False	Крема для лица наборы	27	27
BB 3 estee	1	False	BB 3 estee	30	30
eos бальзам	1	False	eos бальзам	29	29
aqua di parma colonia	2	False	aqua di parma colonia	18	18
Lancôme boxing	1	False	Lancôme boxing	0	0
shiseido synchro skin glow	13	False	shiseido synchro skin glow	1	1
clinique чувствительной кожи	1	False	clinique чувствительной кожи	14	14
Luxvisage Perfect Color	1	False	Luxvisage Perfect Color	0	0
Lancome odazur	1	False	Lancome odazur	0	0
Духи brilliant	4	False	Духи brilliant	0	0
Amber absolute	2	False	Amber absolute	0	0
Firming body	1	False	Firming body	8	8
Molecule 08	1	False	Molecule 08	5	5
Набор помад nyx	3	False	Набор помад nyx	28	28
ysl cheek & lip	1	False	ysl cheek & lip	10	10
Caron Aimez moi	1	False	Caron Aimez moi	0	0
Антивозрастные крема	2	False	Антивозрастные крема	10	10
maxx	5	False	maxx	0	0
kenzo l eau intense	3	False	kenzo l eau intense	3	3
Barba italiano	2	False	Barba italiano	0	0
tesey	1	False	tesey	0	0
Shiseido lucency	1	False	Shiseido lucency	0	0
Max Factor Masterpiece Max high	1	False	Max Factor Masterpiece Max high	1	1
Diorskin nude air glow powder	1	False	Diorskin nude air glow powder	0	0
l’ oréal colorista	9	False	l’ oréal colorista	9	9
smashbox photo finish	13	False	smashbox photo finish	30	30
Memo	106	False	Memo	0	0
Est-elle	2	False	Est-elle	0	0
aqua де fleur	1	False	aqua де fleur	30	30
Маска для волос fructis	1	False	Маска для волос fructis	8	8
икры oval	1	False	икры oval	0	0
Molto	12	False	Molto	12	12
Мужская туалетная вода Voss	1	False	Мужская туалетная вода Voss	0	0
Frank bogner	1	False	Frank bogner	0	0
Flannel	1	False	Flannel	0	0
aveeno	1	False	aveeno	0	0
Маска для лица с муцином улитки	1	False	Маска для лица с муцином улитки	2	2
chocolate mat	1	False	chocolate mat	1	1
Vivienne Westwood Boudoir	3	False	Vivienne Westwood Boudoir	0	0
Bruno banana	9	False	Bruno banana	0	0
Paw paw	33	False	Paw paw	17	17
pore refining solution	2	False	pore refining solution	0	0
Brow Tech To Go	1	False	Brow Tech To Go	3	3
Love is belle	1	False	Love is belle	0	0
bvlgari splendida	1	False	bvlgari splendida	0	0
sensai карандаш	1	False	sensai карандаш	4	4
TM zoeva	1	False	TM zoeva	0	0
Stay in place	3	False	Stay in place	8	8
Черный дракон	1	False	Черный дракон	1	1
Back to	2	False	Back to	2	2
Для автозагара	4	False	Для автозагара	30	30
Hermes сады нила	2	False	Hermes сады нила	0	0
туалетная вода chanel шанс	1	False	туалетная вода chanel шанс	0	0
Скраб скатка	1	False	Скраб скатка	0	0
Pimente	1	False	Pimente	1	1
румяна голивуд	1	False	румяна голивуд	0	0
suqqu	4	False	suqqu	0	0
Bvlgari gold	1	False	Bvlgari gold	0	0
крем для тела teana	1	False	крем для тела teana	7	7
масло очищающее	1	False	масло очищающее	30	30
Maybelline палетка консилеров	1	False	Maybelline палетка консилеров	0	0
ресницы на шею	1	False	ресницы на шею	28	28
Kyoto	2	False	Kyoto	1	1
DNw	1	False	DNw	17	17
clinique тональный	8	False	clinique тональный	26	26
Colossal Kajal от марки Maybelline	2	False	Colossal Kajal от марки Maybelline	0	0
EX-nehilo	1	False	EX-nehilo	0	0
scandalous	1	False	scandalous	0	0
Консилер bobby brown	2	False	Консилер bobby brown	15	15
tint	230	False	tint	27	27
KILIAN GOLD KNIGHT	1	False	KILIAN GOLD KNIGHT	2	2
Средства с кератином	1	False	Средства с кератином	15	15
dolce&gabanna 3	1	False	dolce&gabanna 3	0	0
Clinique control on	1	False	Clinique control on	0	0
chanel le volume revolution de chanel	1	False	chanel le volume revolution de chanel	0	0
Shiseido bb	7	False	Shiseido bb	14	14
